Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
,,,,,~ 1ÿCrore+,~ 
A.Arunmozhithevan,CUDDALORE,AIADMK,9,Graduate Professional,"Rsÿ1,57,65,250",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Bhartruhari Mahatab,CUTTACK,BJD,0,Post Graduate,"Rsÿ8,88,34,098",Rsÿ0
,,,,,~ 8ÿCrore+,~ 
Natubhai G. Patel,DADRA & NAGAR HAVELI,BJP,5,5th Pass,"Rsÿ15,47,60,217","Rsÿ6,22,86,836"
,,,,,~ 15ÿCrore+,~ 6ÿCrore+
Bhabhor Jasvantsinh Sumanbhai,DAHOD,BJP,0,Graduate Professional,"Rsÿ1,96,61,231","Rsÿ17,41,547"
,,,,,~ 1ÿCrore+,~ 17ÿLacs+
Nalin Kumar Katil,DAKSHINA KANNADA,BJP,1,10th Pass,"Rsÿ87,89,001","Rsÿ14,93,367"
,,,,,~ 87ÿLacs+,~ 14ÿLacs+
Patel Lalubhai Babubhai,DAMAN & DIU,BJP,0,8th Pass,"Rsÿ14,49,31,238","Rsÿ12,34,039"
,,,,,~ 14ÿCrore+,~ 12ÿLacs+
Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,"Rsÿ3,95,86,235","Rsÿ1,24,29,302"
,,,,,~ 3ÿCrore+,~ 1ÿCrore+
Kirti Azad,DARBHANGA,BJP,4,Graduate,"Rsÿ2,85,31,267","Rsÿ4,31,860"
,,,,,~ 2ÿCrore+,~ 4ÿLacs+
Surendrajeet Singh Ahluwalia,DARJEELING,BJP,0,Graduate Professional,"Rsÿ2,33,77,223","Rsÿ4,43,035"
,,,,,~ 2ÿCrore+,~ 4ÿLacs+
Harish Chandra,DAUSA,BJP,0,Graduate,"Rsÿ6,03,94,789","Rsÿ45,000"
,,,,,~ 6ÿCrore+,~ 45ÿThou+
G.M. Siddeshwara,DAVANAGERE,BJP,0,10th Pass,"Rsÿ23,23,75,703","Rsÿ1,79,51,455"
,,,,,~ 23ÿCrore+,~ 1ÿCrore+
Kalraj Mishra,DEORIA,BJP,0,Post Graduate,"Rsÿ5,50,48,193",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
Manohar Untwal,DEWAS,BJP,0,12th Pass,"Rsÿ63,36,490","Rsÿ14,48,086"
,,,,,~ 63ÿLacs+,~ 14ÿLacs+
