Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Phulpur,GEN,Uttar Pradesh,BJP,50.20%,M,BSP,0.36,Keshav Prasad Maurya,11,Graduate,93244143,24381051,47,2.59
Pilibhit,GEN,Uttar Pradesh,BJP,62.90%,F,BJP,0.36,Maneka Sanjay Gandhi,1,12th Pass,374132826,219202,57,2.59
Pollachi,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,73.30%,M,,3.11,Mahendran.C,0,Post Graduate,231430367,18128825,42,7.33
Pondicherry,GEN,Pondicherry,All India N.R. Congress,82.10%,M,INC,2.68,R. Radhakrishnan,0,Post Graduate,77724418,7658530,67,22.88
Ponnani,GEN,Kerala,Indian Union Muslim League,73.80%,M,,18.41,E. T. Mohammed Basheer,0,10th Pass,13216259,0,55,4.39
Porbandar,GEN,Gujarat,BJP,52.60%,M,INC,7.12,Radadiya Vithalbhai Hansrajbhai,10,Graduate,73003639,316000,64,-6.96
Pratapgarh,GEN,Uttar Pradesh,Apna Dal,52.10%,M,INC,0.36,Kuwar Harivansh Singh,5,Graduate,383137665,149404112,42,2.59
Pune,GEN,Maharashtra,BJP,54.10%,M,INC,8.78,Anil Shirole,2,Graduate,227615279,4781007,63,3.99
Puri,GEN,Orissa,Biju Janata Dal,74.00%,M,BJD,5.74,Pinaki Misra,0,Graduate Professional,1370991203,19975839,54,-3.25
Purnia,GEN,Bihar,Janata Dal (United),64.30%,M,BJP,11.53,Santosh Kumar,3,12th Pass,22316594,1406515,35,-10.06
Purulia,GEN,West Bengal,All India Trinamool Congress,81.80%,M,AIFB,8.74,Dr. Mriganka Mahato,0,Graduate Professional,8895210,0,51,5.38
Purvi Champaran,GEN,Bihar,BJP,56.60%,M,BJP,11.53,Radha Mohan Singh,0,Graduate,22558073,4270360,64,-10.06
Rae Bareli,GEN,Uttar Pradesh,INC,51.70%,F,INC,0.36,Sonia Gandhi,0,Others,92895288,0,67,2.59
Raichur,ST,Karnataka,INC,58.30%,M,BJP,2.12,B.V.Nayak,0,Graduate Professional,73502466,0,48,1.25
Raigad,GEN,Maharashtra,Shiv Sena,64.40%,M,SHS,8.78,Anant Geete,0,10th Pass,44466487,23968087,63,3.99
Raiganj,GEN,West Bengal,Communist Party Of India (MARXIST),79.90%,M,INC,8.74,Md. Salim,0,Post Graduate,8318013,0,56,5.38
Raigarh,ST,Chhattisgarh,BJP,77.60%,M,BJP,6.42,Vishnu Deo Sai,0,10th Pass,21576220,1819686,50,2.28
Raipur,GEN,Chhattisgarh,BJP,65.70%,M,BJP,6.42,Ramesh Bais,0,12th Pass,73190135,274902,66,2.28
Rajahmundry,GEN,Andhra Pradesh,Telugu Desam,81.20%,M,INC,2.44,Murali Mohan Maganti,1,12th Pass,180822216,12245000,73,6.15
Rajampet,GEN,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,77.90%,M,INC,2.44,P.V.Midhun Reddy,1,Post Graduate,225984036,8183862,36,6.15
Rajgarh,GEN,Madhya Pradesh,BJP,64.00%,M,INC,2.15,Rodmal Nagar,0,Graduate,28569974,3586473,53,23.28
Rajkot,GEN,Gujarat,BJP,63.80%,M,INC,7.12,Kundariya Mohanbhai Kalyanjibhai,0,8th Pass,39512950,2335530,62,-6.96
Rajmahal,ST,Jharkhand,Jharkhand Mukti Morcha,70.30%,M,BJP,11.62,Vijay Kumar Hansdak,1,5th Pass,6863306,0,31,8.3
Rajnandgaon,GEN,Chhattisgarh,BJP,74.20%,M,BJP,6.42,Abhishek Singh,0,Graduate Professional,44093207,0,33,2.28
Rajsamand,GEN,Rajasthan,BJP,57.80%,M,INC,3.55,Hariom Singh Rathore,0,Graduate,188310824,2728752,56,0.22
Ramanathapuram,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,68.80%,M,DMK,3.11,Anwhar Raajhaa.A,0,Graduate,33582876,2700000,65,7.33
Rampur,GEN,Uttar Pradesh,BJP,59.20%,M,SP,0.36,Dr. Nepal Singh,0,Doctorate,27136042,1614820,74,2.59
Ramtek,SC,Maharashtra,Shiv Sena,62.60%,M,INC,8.78,Krupal Balaji Tumane,1,Graduate,46564362,216000,48,3.99
Ranaghat,SC,West Bengal,All India Trinamool Congress,84.40%,M,AITC,8.74,Tapas Mandal,0,Doctorate,8169115,2383416,42,5.38
Ranchi,GEN,Jharkhand,BJP,63.70%,M,INC,11.62,Ram Tahal Choudhary,0,10th Pass,10743950,0,72,8.3
Ratlam,ST,Madhya Pradesh,BJP,63.60%,M,INC,2.15,Dileepsingh Bhuria,0,10th Pass,12259882,0,68,23.28
Ratnagiri - Sindhudurg,GEN,Maharashtra,Shiv Sena,65.60%,M,INC,8.78,Vinayak Bhaurao Raut,5,Post Graduate,44568629,2370842,60,3.99
Raver,GEN,Maharashtra,BJP,63.30%,F,BJP,8.78,Khadase Raksha Nikhil,0,Graduate,144222841,0,26,3.99
Rewa,GEN,Madhya Pradesh,BJP,53.70%,M,BSP,2.15,Janardan Mishra,0,Graduate Professional,10156568,106977,58,23.28
Robertsganj,SC,Uttar Pradesh,BJP,54.00%,M,SP,0.36,Chhotelal,0,5th Pass,3687361,55313,41,2.59
Rohtak,GEN,Haryana,INC,66.60%,M,INC,3.57,Deepender Singh Hooda,0,Post Graduate,358749354,39310300,36,3.18
Sabarkantha,GEN,Gujarat,BJP,67.70%,M,BJP,7.12,Rathod Dipsinh Shankarsinh,0,8th Pass,20700176,417585,62,-6.96
Sagar,GEN,Madhya Pradesh,BJP,58.70%,M,BJP,2.15,Laxmi Narayan Yadav,1,Graduate Professional,23962099,956348,73,23.28
Saharanpur,GEN,Uttar Pradesh,BJP,74.20%,M,BSP,0.36,Raghav Lakhanpal,0,Post Graduate,35406431,0,39,2.59
Salem,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,76.80%,M,ADMK,3.11,Pannerselvam.V,0,Graduate Professional,32268097,253282,55,7.33
Salempur,GEN,Uttar Pradesh,BJP,51.40%,M,BSP,0.36,Ravindra Kushawaha,0,12th Pass,7134477,0,50,2.59
Samastipur,SC,Bihar,Lok Jan Shakti Party,57.40%,M,JD(U),11.53,Ram Chandra Paswan,3,10th Pass,13058612,0,53,-10.06
Sambalpur,GEN,Orissa,Biju Janata Dal,75.90%,M,INC,5.74,Nagendra Kumar Pradhan,0,Graduate Professional,12796623,1461565,61,-3.25
Sambhal,GEN,Uttar Pradesh,BJP,62.40%,M,BSP,0.36,Satyapal Singh,0,Post Graduate,19904379,0,40,2.59
Sangli,GEN,Maharashtra,BJP,63.50%,M,INC,8.78,Sanjaykaka Patil,0,10th Pass,108791027,19198050,49,3.99
Sangrur,GEN,Punjab,Aam Aadmi Party,77.20%,M,INC,2.55,Bhagwant Mann,0,12th Pass,43057512,16281200,40,0.44
Sant Kabir Nagar,GEN,Uttar Pradesh,BJP,53.10%,M,BSP,0.36,Sharad Tripathi,0,Post Graduate,3697671,71800,42,2.59
Saran,GEN,Bihar,BJP,56.10%,M,RJD,11.53,Rajiv Pratap Rudy,1,Post Graduate,62545997,1008658,53,-10.06
Sarguja,ST,Chhattisgarh,BJP,78.00%,M,BJP,6.42,Kamalbhan Singh Marabi,0,Post Graduate,24773173,2995985,51,2.28
Sasaram,SC,Bihar,BJP,52.70%,M,INC,11.53,Chhedi Paswan,0,Post Graduate,35776803,275000,58,-10.06
Satara,GEN,Maharashtra,Nationalist Congress Party,56.80%,M,NCP,8.78,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,23,12th Pass,606089208,312941,48,3.99
Satna,GEN,Madhya Pradesh,BJP,62.70%,M,BJP,2.15,Ganesh Singh,2,Post Graduate,37800000,0,51,23.28
Secundrabad,GEN,Telangana,BJP,53.00%,M,INC,2.44,Bandaru Dattatreya,3,Graduate,98255148,405469,66,6.15
Shahdol,ST,Madhya Pradesh,BJP,62.00%,M,INC,2.15,Dalpat Singh Paraste,0,Graduate Professional,5524870,0,61,23.28
Shahjahanpur,SC,Uttar Pradesh,BJP,57.10%,F,SP,0.36,Krishna Raj,0,Post Graduate,16506411,3612812,46,2.59
Sheohar,GEN,Bihar,BJP,56.60%,F,BJP,11.53,Rama Devi,6,Graduate Professional,308591850,0,65,-10.06
Shillong,ST,Meghalaya,INC,63.20%,M,INC,11.93,Vincent H. Pala,0,Graduate Professional,497108058,0,46,5.07
Shimla,SC,Himachal Pradesh,BJP,64.00%,M,BJP,2.43,Virender Kashyap,0,Post Graduate,5228095,0,63,13.35
Shimoga,GEN,Karnataka,BJP,72.30%,M,BJP,2.12,B. S. Yeddyurappa,9,12th Pass,69746267,5.00E+05,71,1.25
Shirdi,SC,Maharashtra,Shiv Sena,63.90%,M,SHS,8.78,Lokhande Sadashiv Kisan,1,10th Pass,38294539,1497168,52,3.99
Shirur,GEN,Maharashtra,Shiv Sena,59.70%,M,SHS,8.78,Adhalrao Shivaji Dattatrey,10,Others,253880475,61810866,59,3.99
Shrawasti,GEN,Uttar Pradesh,BJP,54.80%,M,INC,0.36,Daddan Mishra,0,Post Graduate,20065527,228304,47,2.59
Sidhi,GEN,Madhya Pradesh,BJP,57.00%,F,BJP,2.15,Riti Pathak,0,Post Graduate,33416561,0,36,23.28
Sikar,GEN,Rajasthan,BJP,60.20%,M,INC,3.55,Sumedhanand Saraswati,0,Others,34311,0,62,0.22
Sikkim,GEN,Sikkim,Sikkim Democratic Front,83.40%,M,SDF,9.37,Prem Das Rai,0,Post Graduate,32389223,0,59,3.37
Silchar,GEN,Assam,INC,75.40%,F,BJP,4.28,Sushmita Dev,1,Post Graduate,87495844,12008613,41,4.59
Singhbhum,ST,Jharkhand,BJP,69.00%,M,IND,11.62,Laxman Giluwa,4,12th Pass,8094301,108145,52,8.3
Sirsa,SC,Haryana,Indian National Lok Dal,77.00%,M,INC,3.57,Charanjeet Singh Rori,0,10th Pass,8146887,3260000,43,3.18
Sitamarhi,GEN,Bihar,Rashtriya Lok Samta Party,57.20%,M,JD(U),11.53,Ram Kumar Sharma,0,Post Graduate,9265000,82000,50,-10.06
Sitapur,GEN,Uttar Pradesh,BJP,66.30%,M,BSP,0.36,Rajesh Verma,0,Post Graduate,41418622,1265000,53,2.59
Sivaganga,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,72.70%,M,INC,3.11,Senthilnathan Pr,0,Graduate Professional,49050835,7459581,46,7.33
Siwan,GEN,Bihar,BJP,56.50%,M,IND,11.53,Om Prakash Yadav,1,Graduate,2213023,1956467,48,-10.06
Solapur,SC,Maharashtra,BJP,55.90%,M,INC,8.78,Sharad Bansode,1,Graduate Professional,60152887,7604375,46,3.99
Sonipat,GEN,Haryana,BJP,69.60%,M,INC,3.57,Ramesh Chander,0,Graduate Professional,142840716,0,54,3.18
South Delhi,GEN,Delhi,BJP,62.90%,M,INC,1.36,Ramesh Bidhuri,4,Graduate Professional,147493056,0,52,3.21
South Goa,GEN,Goa,BJP,75.30%,M,INC,-4.86,Adv. Narendra Keshav Sawaikar,0,Graduate Professional,6260382,0,47,-4.53
Srerampur,GEN,West Bengal,All India Trinamool Congress,79.50%,M,AITC,8.74,Kalyan Banerjee,1,Graduate Professional,88512676,8582543,57,5.38
Srikakulam,GEN,Andhra Pradesh,Telugu Desam,74.40%,M,INC,2.44,Rammohan Naidu Kinjarapu,0,Post Graduate,84173423,0,27,6.15
Srinagar,GEN,Jammu & Kashmir,Jammu & Kashmir Peoples Democratic Party,25.90%,M,JKN,1.18,Tariq Hameed Karra,0,Graduate Professional,984556436,1500000,58,4.97
Sriperumbudur,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,66.10%,M,DMK,3.11,"Ramachandran, K.N. Thiru",0,Post Graduate,936721057,80806268,59,7.33
Sultanpur,GEN,Uttar Pradesh,BJP,56.60%,M,INC,0.36,Feroze Varun Gandhi,0,Post Graduate,357318699,18119000,34,2.59
Sundargarh,ST,Orissa,BJP,71.70%,M,INC,5.74,Jual @ Juel Oram,1,Others,24202170,0,52,-3.25
Supaul,GEN,Bihar,INC,63.60%,F,JD(U),11.53,Ranjeet Ranjan,5,12th Pass,81242965,0,41,-10.06
Surat,GEN,Gujarat,BJP,63.90%,F,BJP,7.12,Darshana Vikram Jardosh,0,Graduate,18038444,2020458,53,-6.96
Surendranagar,GEN,Gujarat,BJP,57.00%,M,INC,7.12,Fatepara Devajibhai Govindbhai,1,Literate,11685000,0,55,-6.96
Tamluk,GEN,West Bengal,All India Trinamool Congress,87.60%,M,AITC,8.74,Adhikari Suvendu,2,Post Graduate,6480767,0,44,5.38
Tehri Garhwal,GEN,Uttarakhand,BJP,57.40%,F,INC,6.3,Mala Rajya Laxmi Shah,0,12th Pass,1662109875,14900000,64,4.12
