,Candidate,Constituency..,Party,Criminal.Case,Education,Total.Assets,Liabilities,,,,
569,K. VIRUPAXAPPA,Koppal,INC,0,10th Pass,5230246,1046888,,,,
571,GIRIDHAR GAMANG,Koraput,INC,0,Graduate,459812,0,,,,
573,RAGHUVEER SINGH KOSHAL,Kota,BJP,0,Graduate Professional,5734998,664908,,,,
575,K. SURESH KURUP,Kottayam,CPM,0,Graduate Professional,1818560,993202,,,,
577,Jyotirmoyee Sikdar,Krishnagar,CPM,0,12th Pass,7545592,1036080,,,,
579,SUGAVANAM. E. G,Krishnagiri,DMK,1,Others,5121291,1991138,,,,
581,KOTLA JAYASURYA PRAKASHA REDDY,Kurnool,INC,0,Graduate,15941801,681000,,,,
583,NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,121295000,0,,,,
585,GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,9730221,719633,,,,
587,THUPSTAN CHHEWANG,Ladakh,IND,0,Graduate Professional,6139045,230415,,,,
589,DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,1467028,0,,,,
591,DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,3945099,103145,,,,
593,DAROGA PRASAD SAROJ,Lalganj,SP,1,Graduate,614485,130918,,,,
